postal_code,lat,lon
680110,1.37821371288758,103.751983012288
680123,1.37919635460193,103.749457687117
680229,1.38065374616798,103.746367294001
680276,1.37956864583538,103.744327184637
680435,1.38513876286097,103.741050024231
680475,1.37805614752086,103.738931794069
680483,1.37584148701172,103.737757429932
680620,1.39957666181485,103.747100331609
680682,1.40251053782999,103.745291162637
680703,1.3913176745554,103.745930761025
683688,1.40318759203056,103.750991222662
683817,1.37756652387037,103.748989532974
684490,1.37602869228672,103.741368197927
688892,1.38115529117059,103.751903879838
690135,1.35395054963196,103.730809078771
690219,1.35933745468117,103.730946465569
691231,1.35951857354759,103.732035881114
693119,1.35742037653983,103.735198782731
730012,1.44051412313324,103.778621615198
730331,1.42940879659713,103.778713415091
730339,1.43100437420797,103.781602329579
730424,1.42729302492584,103.774859396818
730501,1.43292523586445,103.792006999106
730649,1.4389359336048,103.800962467196
730676,1.43977701476241,103.800573459822
730715,1.44198958062637,103.799393670201
730795,1.44302317833682,103.804141540228
730853,1.43943463826363,103.79309818014
730874,1.44292047122638,103.789545669587
730875,1.44253260985689,103.789611670953
730877,1.44512875522161,103.791320317117
730888,1.43767918988802,103.795136738069
730900,1.4350778940091,103.786619615641
730909,1.43937781064689,103.785716390551
731183,1.43541550566116,103.777407059508
731764,1.44561064808723,103.796780614168
731896,1.43692442499246,103.792568796601
732787,1.44456206997385,103.800811554206
732894,1.43563853621561,103.790326073447
733894,1.43563851706882,103.789623895573
738229,1.4280276339332,103.780906466067
738951,1.43083316720505,103.794704217699
739983,1.44072763040994,103.771877540825
750120,1.44565250579578,103.831432705545
750309,1.44675733997767,103.821562408022
750316,1.44634275472687,103.820816616633
750511,1.45384518789713,103.819543348113
751126,1.44515880423783,103.834981318758
752128,1.44514889153347,103.833925659353
753362,1.44668372388674,103.813225771052
757044,1.44309365595112,103.815893655259
758352,1.41694199331709,103.815972865504
758419,1.43835910195662,103.825923529576
760122,1.4349975861895,103.831124805626
760201,1.43064865606425,103.837996781156
760290,1.43604695009496,103.836194335705
760311,1.43157506974497,103.840815309067
760357,1.42590766387746,103.845994782831
760423,1.42284296540435,103.848313795012
760461,1.42841338853064,103.84997365333
760504,1.41840746777827,103.844547664772
760675,1.42006293748965,103.843561434577
760832,1.41475962294169,103.834648982061
760852,1.41608349208477,103.836622433592
760934,1.42576336562507,103.83653912369
761701,1.4299550174085,103.82792040181
767944,1.41470892392505,103.831102367478
768008,1.43488799613013,103.844613461165
768679,1.43397617334964,103.834050796658
768866,1.42425474652947,103.845482462681
768923,1.4403210014766,103.840575731125
769099,1.43686614981845,103.83434033765
769923,1.43733849469025,103.827551610447
790401,1.3901021265985,103.870984520752
790455,1.39183688254074,103.871190376558
791417,1.39157654101303,103.880697269897
797536,1.39510598236661,103.878696725444
797650,1.39165412570696,103.877189699517
799752,1.40305345907378,103.870912926915
805946,1.39049673555442,103.854010727913
809442,1.38834135596893,103.865685120431
809741,1.39082104130184,103.85170557193
820261,1.40541353588128,103.896823897352
820420,1.41898752974431,103.903018605892
820612,1.40461003085618,103.908665597491
821226,1.40272812898156,103.893101300132
821308,1.40776143065745,103.900998963843
821447,1.41732237795885,103.912385865941
822101,1.39772042498827,103.90632016352
822435,1.41872191528327,103.910462015369
822682,1.40341173051587,103.915952020104
823171,1.39481475165028,103.913160942886
823622,1.4006620149821,103.910914385755
824128,1.39296771940163,103.911961953324
824175,1.39847060510127,103.907769343307
824201,1.39953661476964,103.903245841272
824322,1.41003628713147,103.896380211581
824637,1.3990576199104,103.915464678932
828603,1.40786099170518,103.909505058042
828654,1.4101948880134,103.906072212279
828674,1.41158455562454,103.89890448429
828683,1.39910651674297,103.914597569863
828717,1.40185430270244,103.910410112245
829911,1.41455331241338,103.908235310028
039594,1.29185533273026,103.85857808906
048616,1.28434954622306,103.851072545834
049318,1.28424248541962,103.852502853417
059764,1.2876382496479,103.843976681457
068810,1.27601990655194,103.848835345266
068815,1.27796672410263,103.849007895764
069111,1.27923120988439,103.846619273977
069533,1.28096623481924,103.849392501855
069534,1.28054975235403,103.849195746277
069925,1.28182153201993,103.847397445142
079027,1.2749347475094,103.843552412915
082002,1.27521197962545,103.842708898883
085501,1.27662168427368,103.841156142262
088995,1.28120819857782,103.843020522293
090018,1.27790984987633,103.822535848245
098008,1.25166196562472,103.820751565199
098375,1.24707037485673,103.842196112807
098382,1.26372399980548,103.812189999971
098717,1.26957377266982,103.814511379765
099253,1.26393160324447,103.820112171695
099254,1.2644444765565,103.818680927668
100044,1.27129597566763,103.810507576844
100063,1.27483128151468,103.810941362052
101078,1.27338251992557,103.808934807512
102078,1.27362998744635,103.808254903711
103104,1.28054679818301,103.811571533865
109590,1.28188713080526,103.814161011226
109840,1.28320617401889,103.806811993607
117439,1.27483059979467,103.799145295404
117783,1.28570778791483,103.794457098498
118141,1.28013029232542,103.78625956187
118257,1.28903988216459,103.790501723096
118523,1.27731477765259,103.796527879731
118524,1.27812903004903,103.796754320751
118599,1.28031001099658,103.784721316163
118643,1.28750746408234,103.779791675205
118733,1.29154211888766,103.771165065693
119936,1.27766459059549,103.797742999491
119962,1.27521486569868,103.801329953313
119968,1.27739855841062,103.799423212198
120207,1.32238038257706,103.762372790269
120305,1.32206109134409,103.766014023221
120333,1.3151622811043,103.76748797506
120375,1.31849298732441,103.766701647482
120428,1.31251199282409,103.763268844666
120445,1.31335932628171,103.763902569669
120453,1.31192106821964,103.766016890178
120611,1.30369740104798,103.769476904205
120714,1.30424477803195,103.761706994745
120728,1.3056127219172,103.76360266187
121420,1.30964791583249,103.768667399399
121462,1.31156052663147,103.765726537609
122209,1.32307183298737,103.763858722838
122312,1.31965596040108,103.76445460534
126756,1.31968768006034,103.752699363733
127309,1.293261716615,103.766675957127
127370,1.30272018342396,103.765866427623
127371,1.30362457527941,103.765858386923
128020,1.31641321892509,103.757451263299
128524,1.3050792664295,103.764536469721
128583,1.3062784274846,103.767103759783
129040,1.32167882263481,103.757399120948
129781,1.29969494386434,103.768262238489
129798,1.30139111071693,103.768997541346
129857,1.31666529308968,103.767438999533
138623,1.30159695735201,103.793329187493
138628,1.29801992240256,103.790067059149
138632,1.29929405583229,103.78740406096
138639,1.30541103549045,103.788371152389
138675,1.30509598194318,103.790965015429
139659,1.30415613270506,103.779206327383
139790,1.30663897387578,103.782412866712
139940,1.29569041726748,103.787502523122
140021,1.2932777500051,103.799918049241
140040,1.29645842578646,103.806207569922
140145,1.29381815215672,103.804886574515
141082,1.29454526399603,103.808751075782
142043,1.29871092283081,103.798579967767
142054,1.30164998857118,103.796796430411
143053,1.29333561156669,103.807613949557
143078,1.29410699961945,103.809540875876
148960,1.29205481713546,103.805546433928
149454,1.29483448470578,103.80756527615
149456,1.29474611826682,103.806830290183
149598,1.30305551306548,103.796483196648
149601,1.30620353695739,103.799219242374
149604,1.30258842546827,103.797301915704
150003,1.28713356011406,103.807000524353
150052,1.28848713394647,103.813351513103
159049,1.28955908951314,103.814664108896
159345,1.28492939416037,103.808520956734
159460,1.28348433174779,103.818267800134
159506,1.28836511367634,103.811949861772
159640,1.28840746132931,103.811381546497
159919,1.29102791800182,103.825340807968
159948,1.29130379873071,103.807350988389
159964,1.28812221600156,103.799444845234
159971,1.28728320930592,103.805283367958
160125,1.28363467842249,103.828128059322
160130,1.28041255232016,103.829271242873
160134,1.27881990735879,103.827723714738
160568,1.28991403278086,103.831035215527
161051,1.2899461903129,103.827679724834
163009,1.28681417822795,103.828928312802
164018,1.2856723198467,103.826784264546
168582,1.27751377380898,103.835478011932
168730,1.28629937187776,103.828093503404
