subzone,planning_area,supply,n_centres,pct_full_avg,demand_2026,organic_2026,bto_2026,gap_2026,demand_2027,organic_2027,bto_2027,gap_2027,demand_2028,organic_2028,bto_2028,gap_2028,demand_2029,organic_2029,bto_2029,gap_2029,demand_2030,organic_2030,bto_2030,gap_2030,demand_2031,organic_2031,bto_2031,gap_2031,gap_trend,centres_needed_2031,category,bto_share_2031,first_deficit_year,supply_younger,supply_older,demand_younger_2026,demand_older_2026,gap_younger_2026,gap_older_2026,demand_younger_2027,demand_older_2027,gap_younger_2027,gap_older_2027,demand_younger_2028,demand_older_2028,gap_younger_2028,gap_older_2028,demand_younger_2029,demand_older_2029,gap_younger_2029,gap_older_2029,demand_younger_2030,demand_older_2030,gap_younger_2030,gap_older_2030,demand_younger_2031,demand_older_2031,gap_younger_2031,gap_older_2031
Redhill,Bukit Merah,200.0,2.0,0.0,351.7931577875353,351.7931577875353,0.0,151.79315778753528,348.173861430224,348.173861430224,0.0,148.173861430224,454.11034045585916,344.63034045585914,109.48,254.11034045585916,560.1210890392002,341.16108903920025,218.96,360.1210890392002,556.7246313620262,337.76463136202625,218.96,356.72463136202623,553.3995210152664,334.4395210152664,218.96,353.3995210152664,201.6063632277311,4.0,Urgent: deficit today,0.3956635155706245,2026.0,120.0,80.0,190.40314588967414,161.39001189786114,70.40314588967414,81.39001189786114,186.60946752199115,161.5643939082329,66.60946752199115,81.56439390823289,252.56046702647245,201.54987342938668,132.56046702647245,121.54987342938668,318.58554746519894,241.53554157400126,198.58554746519894,161.53554157400126,315.0141419070509,241.7104894549753,195.01414190705088,161.7104894549753,311.51389464802054,241.88562636724583,191.51389464802054,161.88562636724583
Alexandra Hill,Bukit Merah,700.0,7.0,0.43571428571428567,249.68599934711307,249.68599934711307,0.0,-450.31400065288693,246.93582326378134,246.93582326378134,0.0,-453.06417673621866,244.2428467010671,244.2428467010671,0.0,-455.7571532989329,241.6059325871331,241.6059325871331,0.0,-458.3940674128669,239.02396650848192,239.02396650848192,0.0,-460.9760334915181,236.4958562585039,236.4958562585039,0.0,-463.50414374149614,-13.190143088609204,0.0,Comfortable,0.0,,370.0,263.33333333333337,143.7738040391417,105.91219530797137,-226.2261959608583,-157.42113802536198,140.9091897615035,106.02663350227783,-229.0908102384965,-157.30669983105554,138.10165135394115,106.14119534712592,-231.89834864605885,-157.19213798620746,135.35005161101296,106.25588097612012,-234.64994838898704,-157.07745235721325,132.6532759854726,106.37069052300936,-237.3467240145274,-156.962642810324,130.010232136817,106.4856241216869,-239.989767863183,-156.84770921164647
Bukit Ho Swee,Bukit Merah,300.0,3.0,0.3333333333333333,322.48378977357356,322.48378977357356,0.0,22.483789773573562,319.07768640638915,319.07768640638915,0.0,19.077686406389148,437.40271004047804,315.742710040478,121.66000000000001,137.40271004047804,555.7974470341792,312.47744703417914,243.32000000000002,255.79744703417919,552.6005119156755,309.2805119156755,243.32000000000002,252.6005119156755,549.4705468217298,306.1505468217298,243.32000000000002,249.47054682172984,226.98675704815628,3.0,Urgent: deficit today,0.442826283241971,2026.0,185.0,73.33333333333334,178.74581042704102,143.7379793465326,-6.254189572958978,70.40464601319925,175.18439808186923,143.89328832451992,-9.815601918130767,70.55995499118657,249.1139449265214,188.2887651139566,64.11394492652141,114.95543178062326,323.1130371380161,232.68440989616306,138.11303713801613,159.35107656282972,319.76028906301997,232.8402228526556,134.76028906301997,159.50688951932224,316.4743426565833,232.99620416514654,131.4743426565833,159.6628708318132
Clarke Quay,Singapore River,200.0,2.0,0.1,6.40749742344845,6.40749742344845,0.0,-193.59250257655154,6.332800134856774,6.332800134856774,0.0,-193.66719986514323,6.259648381408743,6.259648381408743,0.0,-193.74035161859126,6.188011431003211,6.188011431003211,0.0,-193.81198856899678,6.117859163926123,6.117859163926123,0.0,-193.8821408360739,6.0491620606491185,6.0491620606491185,0.0,-193.9508379393509,-0.35833536279935174,0.0,Comfortable,0.0,,120.0,80.0,3.8857784875443704,2.5217189359040804,-116.11422151245563,-77.47828106409592,3.8083564800406355,2.524443654816139,-116.19164351995937,-77.47555634518386,3.732477063620031,2.5271713177887123,-116.26752293637998,-77.47282868221129,3.65810950300035,2.5299019280028605,-116.34189049699965,-77.47009807199714,3.585223675283043,2.5326354886430797,-116.41477632471695,-77.46736451135692,3.5137900577518106,2.535372002897307,-116.4862099422482,-77.4646279971027
Pasir Panjang 1,Queenstown,500.0,5.0,0.4,110.08511558288745,110.08511558288745,0.0,-389.91488441711255,108.8981331221568,108.8981331221568,0.0,-391.1018668778432,107.73588805590603,107.73588805590603,0.0,-392.264111944094,106.59788868005995,106.59788868005995,0.0,-393.40211131994005,105.48365308874722,105.48365308874722,0.0,-394.51634691125275,104.3927089790778,104.3927089790778,0.0,-395.6072910209222,-5.692406603809673,0.0,Comfortable,0.0,,280.0,186.66666666666669,62.172455800709926,47.91265978217753,-217.82754419929006,-138.75400688448917,60.93370368065017,47.96442944150664,-219.06629631934982,-138.70223722516005,59.71963301792049,48.01625503798553,-220.2803669820795,-138.65041162868116,58.5297520480056,48.06813663205435,-221.4702479519944,-138.59853003461234,57.363578804528686,48.12007428421852,-222.6364211954713,-138.54659238244818,56.22064092402897,48.17206805504884,-223.77935907597103,-138.49459861161785
Queensway,Queenstown,100.0,1.0,1.0,3.8857784875443704,3.8857784875443704,0.0,-96.11422151245563,89.20835648004064,3.8083564800406355,85.4,-10.791643519959365,279.6724770636201,3.732477063620031,275.94000000000005,179.67247706362008,384.7381095030004,3.65810950300035,381.08000000000004,284.7381095030004,384.6652236752831,3.585223675283043,381.08000000000004,284.6652236752831,384.59379005775185,3.5137900577518106,381.08000000000004,284.59379005775185,380.7080115702075,3.0,Emerging: deficit by 2031,0.9908636328807489,2028.0,60.0,40.0,3.8857784875443704,0.0,-56.11422151245563,-40.0,58.15381102549519,31.05454545454546,-1.8461889745048126,-8.945454545454542,179.33065888180187,100.3418181818182,119.33065888180187,60.3418181818182,246.16356404845493,138.57454545454547,186.16356404845493,98.57454545454547,246.0906782207376,138.57454545454547,186.0906782207376,98.57454545454547,246.01924460320637,138.57454545454547,186.01924460320637,98.57454545454547
Marina East (Mp),Marine Parade,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Comfortable,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudong,Western Islands,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Comfortable,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semakau,Western Islands,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Comfortable,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Group,Southern Islands,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Comfortable,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
