subzone,planning_area,supply,n_centres,pct_full_avg,demand_2026,organic_2026,bto_2026,gap_2026,demand_2027,organic_2027,bto_2027,gap_2027,demand_2028,organic_2028,bto_2028,gap_2028,demand_2029,organic_2029,bto_2029,gap_2029,demand_2030,organic_2030,bto_2030,gap_2030,demand_2031,organic_2031,bto_2031,gap_2031,gap_trend,centres_needed_2031,category,bto_share_2031
Tanglin Halt,Queenstown,400.0,4.0,0.25,253.77817800203397,253.77817800203397,0.0,-146.22182199796603,250.78756173945482,250.78756173945482,0.0,-149.21243826054518,419.2187639385611,247.85876393856105,171.36,19.218763938561096,587.7105553121255,244.99055531212554,342.72,187.7105553121255,584.9017310684019,242.18173106840183,342.72,184.9017310684019,582.1511104230674,239.4311104230674,342.72,182.1511104230674,328.3729324210334,2.0,Emerging: deficit by 2031,0.5887131259630076
Toa Payoh West,Toa Payoh,400.0,4.0,0.4,601.2895420976888,343.6895420976888,257.6,201.2895420976888,597.0901456230825,339.4901456230825,257.6,197.09014562308255,592.9772814521574,335.3772814521574,257.6,192.9772814521574,588.9492285681627,331.34922856816263,257.6,188.94922856816265,585.0043002480045,327.4043002480044,257.6,185.00430024800448,581.1408433789668,323.5408433789667,257.6,181.1408433789668,-20.148698718722017,2.0,Urgent: deficit today,0.44326603943756354
Rivervale,Sengkang,2200.0,22.0,0.2,2443.090616272741,1743.090616272741,700.0000000000001,243.09061627274104,2424.5688783838973,1724.5688783838973,700.0000000000001,224.5688783838973,2406.433689148354,1706.4336891483538,700.0000000000001,206.433689148354,2388.677365718963,1688.6773657189628,700.0000000000001,188.67736571896285,2371.292378345543,1671.292378345543,700.0000000000001,171.29237834554306,2354.2713473245285,1654.2713473245285,700.0000000000001,154.2713473245285,-88.81926894821254,2.0,Urgent: deficit today,0.2973319115468585
Kangkar,Hougang,1000.0,10.0,0.3,1202.476108655119,1122.6761086551192,79.80000000000001,202.4761086551191,1189.32393642516,1109.52393642516,79.80000000000001,189.3239364251599,1176.4437724923614,1096.6437724923614,79.80000000000001,176.4437724923614,1163.8302080005592,1084.0302080005592,79.80000000000001,163.8302080005592,1151.4779418737114,1071.6779418737115,79.80000000000001,151.47794187371142,1139.3817786684501,1059.5817786684502,79.80000000000001,139.38177866845012,-63.09432998666898,2.0,Urgent: deficit today,0.07003798155633055
Cheng San,Ang Mo Kio,700.0,7.0,0.2571428571428572,873.5112890137276,674.1512890137276,199.36,173.5112890137276,865.5879269851858,666.2279269851858,199.36,165.58792698518585,857.8283857937494,658.4683857937493,199.36,157.82838579374936,850.2294078303345,650.8694078303345,199.36,150.22940783033448,842.7878003988828,643.4278003988828,199.36,142.78780039888284,835.5004344230119,636.1404344230119,199.36,135.50043442301194,-38.01085459071567,2.0,Urgent: deficit today,0.23861148574707325
Tiong Bahru,Bukit Merah,300.0,3.0,0.26666666666666666,437.07388434613483,437.07388434613483,0.0,137.07388434613483,431.91432199548507,431.91432199548507,0.0,131.91432199548507,426.86139568162577,426.86139568162577,0.0,126.86139568162577,421.91298488321576,421.91298488321576,0.0,121.91298488321576,417.0670113336163,417.0670113336163,0.0,117.06701133361628,412.32143817899447,412.32143817899447,0.0,112.32143817899447,-24.752446167140363,2.0,Urgent: deficit today,0.0
Bedok South,Bedok,1700.0,17.0,0.5058823529411764,1255.123699630251,991.9236996302508,263.20000000000005,-444.87630036974906,1548.0437289290026,981.3237289290026,566.72,-151.95627107099745,1841.1848580751116,970.9448580751116,870.2400000000001,141.1848580751116,1831.0226924735448,960.7826924735448,870.2400000000001,131.0226924735448,1821.0729251007278,950.8329251007278,870.2400000000001,121.07292510072784,1811.331334759743,941.0913347597428,870.2400000000001,111.33133475974296,556.207635129492,2.0,Emerging: deficit by 2031,0.4804421937057859
Boon Keng,Kallang,400.0,4.0,0.6,387.8742701050028,272.7942701050028,115.08000000000001,-12.125729894997221,384.82258014839226,269.7425801483923,115.08000000000001,-15.177419851607738,448.61426890891335,266.75426890891333,181.86,48.614268908913346,512.468076383143,263.82807638314307,248.64000000000001,112.46807638314306,509.6027676755433,260.9627676755433,248.64000000000001,109.6027676755433,506.79713249820304,258.15713249820305,248.64000000000001,106.79713249820304,118.92286239320026,2.0,Emerging: deficit by 2031,0.49061051070742123
Taman Jurong,Jurong West,1700.0,17.0,0.3058823529411765,1734.747760998597,1338.547760998597,396.20000000000005,34.74776099859696,1861.8650821981673,1323.4250821981673,538.44,161.86508219816733,1847.0561911928057,1308.6161911928057,538.44,147.05619119280573,1832.5548494136947,1294.1148494136946,538.44,132.55484941369468,1818.354942606649,1279.914942606649,538.44,118.35494260664905,1804.4504783552304,1266.0104783552304,538.44,104.45047835523042,69.70271735663346,2.0,Urgent: deficit today,0.2983955539144482
Faber,Clementi,100.0,1.0,0.0,213.34993340757345,213.34993340757345,0.0,113.34993340757345,211.37670211819113,211.37670211819113,0.0,111.37670211819113,209.4452473826555,209.4452473826555,0.0,109.44524738265551,207.55473948513247,207.55473948513247,0.0,107.55473948513247,205.7043652442946,205.7043652442946,0.0,105.70436524429459,203.8933276838831,203.8933276838831,0.0,103.89332768388309,-9.456605723690359,2.0,Urgent: deficit today,0.0
